S.no,District,Transaction_count,Transaction_amount,Quarter,Year,State
13499,sultanpur district,499375,610606915.5,1,2019,uttar-pradesh
13500,agra district,1055850,1798577434,1,2019,uttar-pradesh
13501,fatehpur district,226784,316452146.8,1,2019,uttar-pradesh
13502,rae bareli district,312361,443410196.1,1,2019,uttar-pradesh
13503,firozabad district,265828,461030301.1,1,2019,uttar-pradesh
13504,kheri district,615443,548415887.9,1,2019,uttar-pradesh
13505,gorakhpur district,1266510,2149018598,1,2019,uttar-pradesh
13506,unnao district,266970,377760951.8,1,2019,uttar-pradesh
13507,prayagraj district,2524007,3328073518,1,2019,uttar-pradesh
13508,sonbhadra district,512752,724325762.6,1,2019,uttar-pradesh
13509,ghazipur district,739327,957958166.4,1,2019,uttar-pradesh
13510,farrukhabad district,197121,298981837.1,1,2019,uttar-pradesh
13511,kannauj district,203044,263647855.2,1,2019,uttar-pradesh
13512,azamgarh district,695137,1026685595,1,2019,uttar-pradesh
13513,ayodhya district,580371,733819037.6,1,2019,uttar-pradesh
13514,deoria district,753335,1046211030,1,2019,uttar-pradesh
13515,ghaziabad district,4604564,5631770850,1,2019,uttar-pradesh
13516,amethi district,266904,451554167.7,2,2019,uttar-pradesh
13517,siddharthnagar district,310255,894965280.9,2,2019,uttar-pradesh
13518,auraiya district,187035,355103136.4,2,2019,uttar-pradesh
13519,sambhal district,140505,332684806.2,2,2019,uttar-pradesh
13520,kanpur nagar district,2572884,4421750497,2,2019,uttar-pradesh
13521,aligarh district,636744,1206838766,2,2019,uttar-pradesh
13522,mahoba district,88311,176742462.5,2,2019,uttar-pradesh
13523,lucknow district,12624404,22426462675,2,2019,uttar-pradesh
13524,sant kabeer nagar district,235516,592340368.2,2,2019,uttar-pradesh
13525,hathras district,165078,315837612.7,2,2019,uttar-pradesh
13526,budaun district,192308,352038721.5,2,2019,uttar-pradesh
13527,moradabad district,408045,957026959.7,2,2019,uttar-pradesh
13528,kushinagar district,791535,1682457442,2,2019,uttar-pradesh
13529,baghpat district,230331,500645573.6,2,2019,uttar-pradesh
13530,shahjahanpur district,263493,445041438.2,2,2019,uttar-pradesh
13531,muzaffarnagar district,376962,826260658.1,2,2019,uttar-pradesh
13532,ambedkar nagar district,368546,581590905.9,2,2019,uttar-pradesh
13533,bahraich district,219659,479908955.7,2,2019,uttar-pradesh
13534,jalaun district,211738,402494738.8,2,2019,uttar-pradesh
13535,rampur district,228551,422959618.7,2,2019,uttar-pradesh
13536,ballia district,547294,1035719450,2,2019,uttar-pradesh
13537,shravasti district,59054,113684795.8,2,2019,uttar-pradesh
13538,kasganj district,111076,193472365.4,2,2019,uttar-pradesh
13539,varanasi district,2098693,3382380918,2,2019,uttar-pradesh
13540,gautam buddha nagar district,9667218,10716810454,2,2019,uttar-pradesh
13541,basti district,389946,927574165.1,2,2019,uttar-pradesh
13542,shamli district,155157,364131458.6,2,2019,uttar-pradesh
13543,maharajganj district,478890,876340120.1,2,2019,uttar-pradesh
13544,etawah district,215576,403035193.2,2,2019,uttar-pradesh
13545,etah district,138846,280149577.2,2,2019,uttar-pradesh
13546,banda district,157420,254375614.9,2,2019,uttar-pradesh
13547,bijnor district,379866,784443552.3,2,2019,uttar-pradesh
13548,hardoi district,259447,411747383.5,2,2019,uttar-pradesh
13549,balrampur district,146778,439935665,2,2019,uttar-pradesh
13550,amroha district,206435,455744026.9,2,2019,uttar-pradesh
13551,pilibhit district,236078,310108647.3,2,2019,uttar-pradesh
13552,mainpuri district,197750,323456005.7,2,2019,uttar-pradesh
13553,kanpur dehat district,165783,319748875.9,2,2019,uttar-pradesh
13554,jaunpur district,786691,1547948140,2,2019,uttar-pradesh
13555,kaushambi district,97533,181710683.4,2,2019,uttar-pradesh
13556,hapur district,330314,596535269.5,2,2019,uttar-pradesh
13557,hamirpur district,130925,239592146.1,2,2019,uttar-pradesh
13558,meerut district,1123899,2212165529,2,2019,uttar-pradesh
13559,mathura district,610141,1213007842,2,2019,uttar-pradesh
13560,chitrakoot district,83083,159972561.3,2,2019,uttar-pradesh
13561,lalitpur district,185877,299432267.9,2,2019,uttar-pradesh
13562,mau district,308586,541874420.8,2,2019,uttar-pradesh
13563,mirzapur district,338746,595094512.5,2,2019,uttar-pradesh
13564,bulandshahr district,498918,1017739202,2,2019,uttar-pradesh
13565,gonda district,335254,922942819.2,2,2019,uttar-pradesh
13566,jhansi district,628279,1234386138,2,2019,uttar-pradesh
13567,chandauli district,331329,538498073.5,2,2019,uttar-pradesh
13568,bhadohi district,250504,411685597.9,2,2019,uttar-pradesh
13569,pratapgarh district,362782,673178075.8,2,2019,uttar-pradesh
13570,saharanpur district,609666,1197548162,2,2019,uttar-pradesh
13571,bara banki district,318729,502225831,2,2019,uttar-pradesh
13572,bareilly district,893059,1444372594,2,2019,uttar-pradesh
13573,sitapur district,363567,513060347.8,2,2019,uttar-pradesh
13574,sultanpur district,381974,668113450.6,2,2019,uttar-pradesh
13575,agra district,1094456,2048417270,2,2019,uttar-pradesh
13576,fatehpur district,188877,356762072.2,2,2019,uttar-pradesh
13577,rae bareli district,273258,476603525.2,2,2019,uttar-pradesh
13578,firozabad district,279459,530230873.5,2,2019,uttar-pradesh
13579,kheri district,416412,569150953.2,2,2019,uttar-pradesh
13580,gorakhpur district,1168931,2516446620,2,2019,uttar-pradesh
13581,unnao district,260465,436025008.4,2,2019,uttar-pradesh
13582,prayagraj district,2300600,3610973840,2,2019,uttar-pradesh
13583,sonbhadra district,383509,758680517,2,2019,uttar-pradesh
13584,ghazipur district,616075,1140075904,2,2019,uttar-pradesh
13585,farrukhabad district,188426,349337598.8,2,2019,uttar-pradesh
13586,kannauj district,205350,280784087,2,2019,uttar-pradesh
13587,azamgarh district,643099,1270821808,2,2019,uttar-pradesh
13588,ayodhya district,443014,791220563.4,2,2019,uttar-pradesh
13589,deoria district,642443,1284414150,2,2019,uttar-pradesh
13590,ghaziabad district,4679159,6368927863,2,2019,uttar-pradesh
13591,amethi district,274229,457961949.5,3,2019,uttar-pradesh
13592,siddharthnagar district,320825,822517503.3,3,2019,uttar-pradesh
13593,auraiya district,208407,374218862.8,3,2019,uttar-pradesh
13594,sambhal district,173100,360822673.9,3,2019,uttar-pradesh
13595,kanpur nagar district,3032525,5151875480,3,2019,uttar-pradesh
13596,aligarh district,963300,1512844916,3,2019,uttar-pradesh
13597,mahoba district,95118,167837750.9,3,2019,uttar-pradesh
13598,lucknow district,11708246,24465158675,3,2019,uttar-pradesh
13599,sant kabeer nagar district,239631,570593147.9,3,2019,uttar-pradesh
13600,hathras district,225830,378558205.8,3,2019,uttar-pradesh
13601,budaun district,217390,385248376.4,3,2019,uttar-pradesh
13602,moradabad district,513828,1093980088,3,2019,uttar-pradesh
13603,kushinagar district,730646,1556135072,3,2019,uttar-pradesh
13604,baghpat district,309849,587767966.5,3,2019,uttar-pradesh
13605,shahjahanpur district,304259,488337410.6,3,2019,uttar-pradesh
13606,muzaffarnagar district,525482,954690286.8,3,2019,uttar-pradesh
13607,ambedkar nagar district,360610,547859948.8,3,2019,uttar-pradesh
13608,bahraich district,240440,493719209.3,3,2019,uttar-pradesh
13609,jalaun district,239290,412494066.1,3,2019,uttar-pradesh
13610,rampur district,250113,456757637.6,3,2019,uttar-pradesh
13611,ballia district,518281,968560613.1,3,2019,uttar-pradesh
13612,shravasti district,61489,129370284.6,3,2019,uttar-pradesh
13613,kasganj district,146757,235440734.3,3,2019,uttar-pradesh
13614,varanasi district,2441735,3772442225,3,2019,uttar-pradesh
13615,gautam buddha nagar district,13014875,14118512958,3,2019,uttar-pradesh
13616,basti district,391016,868207697.9,3,2019,uttar-pradesh
13617,shamli district,203262,421501852.8,3,2019,uttar-pradesh
13618,maharajganj district,448750,875745254.5,3,2019,uttar-pradesh
13619,etawah district,264749,453498410.9,3,2019,uttar-pradesh
13620,etah district,186724,347473162.4,3,2019,uttar-pradesh
13621,banda district,156394,256980642.9,3,2019,uttar-pradesh
13622,bijnor district,465326,901149609.6,3,2019,uttar-pradesh
13623,hardoi district,290466,435214416.9,3,2019,uttar-pradesh
13624,balrampur district,169421,416338758.9,3,2019,uttar-pradesh
13625,amroha district,240249,523523675.3,3,2019,uttar-pradesh
13626,pilibhit district,226742,334286741.4,3,2019,uttar-pradesh
13627,mainpuri district,237130,380174278.1,3,2019,uttar-pradesh
13628,kanpur dehat district,195248,360771147.7,3,2019,uttar-pradesh
13629,jaunpur district,757706,1333195632,3,2019,uttar-pradesh
13630,kaushambi district,123627,197365010.5,3,2019,uttar-pradesh
13631,hapur district,426387,711823379.8,3,2019,uttar-pradesh
13632,hamirpur district,141816,232540669.9,3,2019,uttar-pradesh
13633,meerut district,1429176,2615800655,3,2019,uttar-pradesh
13634,mathura district,860755,1539891482,3,2019,uttar-pradesh
13635,chitrakoot district,92093,170002948.8,3,2019,uttar-pradesh
13636,lalitpur district,200629,320830007.9,3,2019,uttar-pradesh
13637,mau district,289175,508132593.5,3,2019,uttar-pradesh
13638,mirzapur district,370018,604811367,3,2019,uttar-pradesh
13639,bulandshahr district,661182,1181078746,3,2019,uttar-pradesh
13640,gonda district,395791,882626251.5,3,2019,uttar-pradesh
13641,jhansi district,811098,1431255309,3,2019,uttar-pradesh
13642,chandauli district,335261,552232588.7,3,2019,uttar-pradesh
13643,bhadohi district,254395,384878660.9,3,2019,uttar-pradesh
13644,pratapgarh district,377704,643587970.5,3,2019,uttar-pradesh
13645,saharanpur district,872438,1432305062,3,2019,uttar-pradesh
13646,bara banki district,393903,565012757.4,3,2019,uttar-pradesh
13647,bareilly district,1164660,1630271296,3,2019,uttar-pradesh
13648,sitapur district,536281,584813456.8,3,2019,uttar-pradesh
13649,sultanpur district,368309,624816515.2,3,2019,uttar-pradesh
13650,agra district,1678565,2589010631,3,2019,uttar-pradesh
13651,fatehpur district,217086,362244820.8,3,2019,uttar-pradesh
13652,rae bareli district,302109,534436240.9,3,2019,uttar-pradesh
13653,firozabad district,440487,634458695.8,3,2019,uttar-pradesh
13654,kheri district,477249,600146322.8,3,2019,uttar-pradesh
13655,gorakhpur district,1301866,2600290226,3,2019,uttar-pradesh
13656,unnao district,356473,503877920,3,2019,uttar-pradesh
13657,prayagraj district,2766837,4091292784,3,2019,uttar-pradesh
13658,sonbhadra district,419238,829425996.9,3,2019,uttar-pradesh
13659,ghazipur district,582438,1046180129,3,2019,uttar-pradesh
13660,farrukhabad district,254048,416393130.8,3,2019,uttar-pradesh
13661,kannauj district,202155,322378590.1,3,2019,uttar-pradesh
13662,azamgarh district,614200,1166995387,3,2019,uttar-pradesh
13663,ayodhya district,460000,840285142.7,3,2019,uttar-pradesh
13664,deoria district,630682,1159986105,3,2019,uttar-pradesh
13665,ghaziabad district,6466390,8384891301,3,2019,uttar-pradesh
13666,amethi district,385496,683646970.2,4,2019,uttar-pradesh
13667,siddharthnagar district,404440,1106226161,4,2019,uttar-pradesh
13668,auraiya district,296077,549636189.7,4,2019,uttar-pradesh
13669,sambhal district,224755,483387045.5,4,2019,uttar-pradesh
13670,kanpur nagar district,3438636,6283713198,4,2019,uttar-pradesh
13671,aligarh district,1161353,2034279415,4,2019,uttar-pradesh
13672,mahoba district,137733,244474408.1,4,2019,uttar-pradesh
13673,lucknow district,14205324,30191564282,4,2019,uttar-pradesh
13674,sant kabeer nagar district,304918,749871481.5,4,2019,uttar-pradesh
13675,hathras district,314326,584110065,4,2019,uttar-pradesh
13676,budaun district,298062,533875756.8,4,2019,uttar-pradesh
13677,moradabad district,686463,1469709142,4,2019,uttar-pradesh
13678,kushinagar district,992091,2182627278,4,2019,uttar-pradesh
13679,baghpat district,431728,848871037.4,4,2019,uttar-pradesh
13680,shahjahanpur district,379896,668190077.2,4,2019,uttar-pradesh
13681,muzaffarnagar district,619496,1229126610,4,2019,uttar-pradesh
13682,ambedkar nagar district,499240,779836279.4,4,2019,uttar-pradesh
13683,bahraich district,341814,644249415.5,4,2019,uttar-pradesh
13684,jalaun district,334493,586293724.5,4,2019,uttar-pradesh
13685,rampur district,324874,631324138.8,4,2019,uttar-pradesh
13686,ballia district,727597,1427288854,4,2019,uttar-pradesh
13687,shravasti district,78564,164110483.6,4,2019,uttar-pradesh
13688,kasganj district,180784,331913103.5,4,2019,uttar-pradesh
13689,varanasi district,4217796,5004637434,4,2019,uttar-pradesh
13690,gautam buddha nagar district,16003102,17701548867,4,2019,uttar-pradesh
13691,basti district,530218,1224897526,4,2019,uttar-pradesh
13692,shamli district,265095,564166990.4,4,2019,uttar-pradesh
13693,maharajganj district,527206,1179282302,4,2019,uttar-pradesh
13694,etawah district,388969,635011988.1,4,2019,uttar-pradesh
13695,etah district,250439,517291347.7,4,2019,uttar-pradesh
13696,banda district,228010,371197107.7,4,2019,uttar-pradesh
13697,bijnor district,602847,1154559918,4,2019,uttar-pradesh
13698,hardoi district,372586,595858258.2,4,2019,uttar-pradesh
13699,balrampur district,221392,574617451.7,4,2019,uttar-pradesh
13700,amroha district,327146,685979996.2,4,2019,uttar-pradesh
13701,pilibhit district,296345,450680196.9,4,2019,uttar-pradesh
13702,mainpuri district,297692,543268880.1,4,2019,uttar-pradesh
13703,kanpur dehat district,275199,556156087.7,4,2019,uttar-pradesh
13704,jaunpur district,1023077,1995246394,4,2019,uttar-pradesh
13705,kaushambi district,160586,306394890.3,4,2019,uttar-pradesh
13706,hapur district,565080,1017699184,4,2019,uttar-pradesh
13707,hamirpur district,194650,322746376.9,4,2019,uttar-pradesh
13708,meerut district,1820166,3435708382,4,2019,uttar-pradesh
13709,mathura district,1095818,2108793176,4,2019,uttar-pradesh
13710,chitrakoot district,129557,237569148.3,4,2019,uttar-pradesh
13711,lalitpur district,249170,415147911.2,4,2019,uttar-pradesh
13712,mau district,445877,763508021,4,2019,uttar-pradesh
13713,mirzapur district,494142,865550749.8,4,2019,uttar-pradesh
13714,bulandshahr district,865523,1612998003,4,2019,uttar-pradesh
13715,gonda district,502501,1216112969,4,2019,uttar-pradesh
13716,jhansi district,995155,1815504488,4,2019,uttar-pradesh
13717,chandauli district,535326,775048803.8,4,2019,uttar-pradesh
13718,bhadohi district,335341,559967190.8,4,2019,uttar-pradesh
13719,pratapgarh district,530239,992265221.5,4,2019,uttar-pradesh
13720,saharanpur district,1147871,1861376501,4,2019,uttar-pradesh
13721,bara banki district,480765,764562635.4,4,2019,uttar-pradesh
13722,bareilly district,1342436,2179671439,4,2019,uttar-pradesh
13723,sitapur district,717451,691802381.7,4,2019,uttar-pradesh
13724,sultanpur district,517126,914129745.2,4,2019,uttar-pradesh
13725,agra district,1992945,3485238497,4,2019,uttar-pradesh
13726,fatehpur district,293982,535822801,4,2019,uttar-pradesh
13727,rae bareli district,417255,762711366.5,4,2019,uttar-pradesh
13728,firozabad district,495365,882939644.2,4,2019,uttar-pradesh
13729,kheri district,649222,793591341,4,2019,uttar-pradesh
13730,gorakhpur district,1669194,3445111046,4,2019,uttar-pradesh
13731,unnao district,424210,685146302.9,4,2019,uttar-pradesh
13732,prayagraj district,3400115,5161631925,4,2019,uttar-pradesh
13733,sonbhadra district,561074,1090356998,4,2019,uttar-pradesh
13734,ghazipur district,785311,1574528810,4,2019,uttar-pradesh
13735,farrukhabad district,320743,556807628.3,4,2019,uttar-pradesh
13736,kannauj district,258519,420520775.4,4,2019,uttar-pradesh
13737,azamgarh district,809005,1661165145,4,2019,uttar-pradesh
13738,ayodhya district,629884,1151855830,4,2019,uttar-pradesh
13739,deoria district,862616,1703101937,4,2019,uttar-pradesh
13740,ghaziabad district,7615506,10609113378,4,2019,uttar-pradesh
13741,amethi district,442934,793055435.6,1,2020,uttar-pradesh
13742,siddharthnagar district,504094,1283921563,1,2020,uttar-pradesh
13743,auraiya district,360206,682438846.2,1,2020,uttar-pradesh
13744,sambhal district,298047,654304412.4,1,2020,uttar-pradesh
13745,kanpur nagar district,3526062,6302890117,1,2020,uttar-pradesh
13746,aligarh district,1516382,2754661142,1,2020,uttar-pradesh
13747,mahoba district,154842,287091201.6,1,2020,uttar-pradesh
13748,lucknow district,15484604,35175437631,1,2020,uttar-pradesh
13749,sant kabeer nagar district,376434,871941750.2,1,2020,uttar-pradesh
13750,hathras district,410971,765970604.4,1,2020,uttar-pradesh
13751,budaun district,392219,721291549.6,1,2020,uttar-pradesh
13752,moradabad district,932327,2034344657,1,2020,uttar-pradesh
13753,kushinagar district,1152792,2476570739,1,2020,uttar-pradesh
13754,baghpat district,530997,1065565623,1,2020,uttar-pradesh
13755,shahjahanpur district,476637,793820511.6,1,2020,uttar-pradesh
13756,muzaffarnagar district,818233,1624414500,1,2020,uttar-pradesh
13757,ambedkar nagar district,557894,932648937.8,1,2020,uttar-pradesh
13758,bahraich district,362621,778183420,1,2020,uttar-pradesh
13759,jalaun district,402254,726128672.3,1,2020,uttar-pradesh
13760,rampur district,387893,758935764.2,1,2020,uttar-pradesh
13761,ballia district,867431,1679776535,1,2020,uttar-pradesh
13762,shravasti district,92811,209037109,1,2020,uttar-pradesh
13763,kasganj district,236602,425135235.7,1,2020,uttar-pradesh
13764,varanasi district,3542507,5628921242,1,2020,uttar-pradesh
13765,gautam buddha nagar district,16781339,19356764213,1,2020,uttar-pradesh
13766,basti district,648494,1477236382,1,2020,uttar-pradesh
13767,shamli district,350784,711886138.1,1,2020,uttar-pradesh
13768,maharajganj district,620464,1388800583,1,2020,uttar-pradesh
13769,etawah district,439975,802347947.3,1,2020,uttar-pradesh
13770,etah district,332256,646289351.1,1,2020,uttar-pradesh
13771,banda district,263634,458003138.1,1,2020,uttar-pradesh
13772,bijnor district,752927,1457705666,1,2020,uttar-pradesh
13773,hardoi district,477639,782383248,1,2020,uttar-pradesh
13774,balrampur district,268711,678927768.6,1,2020,uttar-pradesh
13775,amroha district,477955,1019191450,1,2020,uttar-pradesh
13776,pilibhit district,368547,563616486.3,1,2020,uttar-pradesh
13777,mainpuri district,386043,707602152,1,2020,uttar-pradesh
13778,kanpur dehat district,356453,690188080.6,1,2020,uttar-pradesh
13779,jaunpur district,1180411,2252491480,1,2020,uttar-pradesh
13780,kaushambi district,209052,399878336.5,1,2020,uttar-pradesh
13781,hapur district,774089,1439175871,1,2020,uttar-pradesh
13782,hamirpur district,225126,394456129.3,1,2020,uttar-pradesh
13783,meerut district,2734403,5750006818,1,2020,uttar-pradesh
13784,mathura district,1331532,2552190691,1,2020,uttar-pradesh
13785,chitrakoot district,152213,298433903.4,1,2020,uttar-pradesh
13786,lalitpur district,295766,510364241.4,1,2020,uttar-pradesh
13787,mau district,446716,852393229.2,1,2020,uttar-pradesh
13788,mirzapur district,553170,1031890446,1,2020,uttar-pradesh
13789,bulandshahr district,1151908,2063457475,1,2020,uttar-pradesh
13790,gonda district,599465,1440352647,1,2020,uttar-pradesh
13791,jhansi district,1147735,2142737654,1,2020,uttar-pradesh
13792,chandauli district,537509,937666614.3,1,2020,uttar-pradesh
13793,bhadohi district,378029,648953452.6,1,2020,uttar-pradesh
13794,pratapgarh district,616605,1177453542,1,2020,uttar-pradesh
13795,saharanpur district,1272320,2264046333,1,2020,uttar-pradesh
13796,bara banki district,567581,898106303.5,1,2020,uttar-pradesh
13797,bareilly district,1552726,2644081691,1,2020,uttar-pradesh
13798,sitapur district,558492,831382287.4,1,2020,uttar-pradesh
13799,sultanpur district,557876,1015816552,1,2020,uttar-pradesh
13800,agra district,2580164,4626649236,1,2020,uttar-pradesh
13801,fatehpur district,356379,643900349.3,1,2020,uttar-pradesh
13802,rae bareli district,523048,1028160711,1,2020,uttar-pradesh
13803,firozabad district,660551,1122434154,1,2020,uttar-pradesh
13804,kheri district,645801,953226295.4,1,2020,uttar-pradesh
13805,gorakhpur district,1933805,3977529990,1,2020,uttar-pradesh
13806,unnao district,512648,816053858.7,1,2020,uttar-pradesh
13807,prayagraj district,3666845,6073221861,1,2020,uttar-pradesh
13808,sonbhadra district,634133,1284630208,1,2020,uttar-pradesh
13809,ghazipur district,886756,1754768856,1,2020,uttar-pradesh
13810,farrukhabad district,389097,688461310.9,1,2020,uttar-pradesh
13811,kannauj district,314330,537738592.5,1,2020,uttar-pradesh
13812,azamgarh district,963531,1894632195,1,2020,uttar-pradesh
13813,ayodhya district,707638,1365557406,1,2020,uttar-pradesh
13814,deoria district,1000897,1938521664,1,2020,uttar-pradesh
13815,ghaziabad district,8267770,11998182771,1,2020,uttar-pradesh
13816,amethi district,635116,974183514.7,2,2020,uttar-pradesh
13817,siddharthnagar district,819494,1658908734,2,2020,uttar-pradesh
13818,auraiya district,555297,913908538.7,2,2020,uttar-pradesh
13819,sambhal district,445362,915305072,2,2020,uttar-pradesh
13820,kanpur nagar district,3495087,6575767545,2,2020,uttar-pradesh
13821,aligarh district,1873486,3333199475,2,2020,uttar-pradesh
13822,mahoba district,233814,399777718.3,2,2020,uttar-pradesh
13823,lucknow district,12430842,30895556076,2,2020,uttar-pradesh
13824,sant kabeer nagar district,563477,1126483835,2,2020,uttar-pradesh
13825,hathras district,615773,1101536508,2,2020,uttar-pradesh
13826,budaun district,626764,1100415262,2,2020,uttar-pradesh
13827,moradabad district,1098280,2227291545,2,2020,uttar-pradesh
13828,kushinagar district,1538615,3018986267,2,2020,uttar-pradesh
13829,baghpat district,758380,1398945687,2,2020,uttar-pradesh
13830,shahjahanpur district,673377,1100598021,2,2020,uttar-pradesh
13831,muzaffarnagar district,1091622,1908747239,2,2020,uttar-pradesh
13832,ambedkar nagar district,772604,1212105253,2,2020,uttar-pradesh
13833,bahraich district,517053,924475011.6,2,2020,uttar-pradesh
13834,jalaun district,580715,979336659.4,2,2020,uttar-pradesh
13835,rampur district,555936,973183157.6,2,2020,uttar-pradesh
13836,ballia district,1181508,2103381533,2,2020,uttar-pradesh
13837,shravasti district,134854,252546509,2,2020,uttar-pradesh
13838,kasganj district,397002,615459668.9,2,2020,uttar-pradesh
13839,varanasi district,2569684,4411716948,2,2020,uttar-pradesh
13840,gautam buddha nagar district,10896512,12933946781,2,2020,uttar-pradesh
13841,basti district,948055,1808772881,2,2020,uttar-pradesh
13842,shamli district,492479,939358656.7,2,2020,uttar-pradesh
13843,maharajganj district,822688,1694125648,2,2020,uttar-pradesh
13844,etawah district,611642,1044635436,2,2020,uttar-pradesh
13845,etah district,551798,927167974.2,2,2020,uttar-pradesh
13846,banda district,357345,564152852.3,2,2020,uttar-pradesh
13847,bijnor district,1145403,1989993254,2,2020,uttar-pradesh
13848,hardoi district,790987,1184073626,2,2020,uttar-pradesh
13849,balrampur district,396187,820186982.4,2,2020,uttar-pradesh
13850,amroha district,617820,1214245940,2,2020,uttar-pradesh
13851,pilibhit district,496981,795419207.7,2,2020,uttar-pradesh
13852,mainpuri district,654574,1076283109,2,2020,uttar-pradesh
13853,kanpur dehat district,542702,896535897.5,2,2020,uttar-pradesh
13854,jaunpur district,1679713,2818494385,2,2020,uttar-pradesh
13855,kaushambi district,298441,490127983,2,2020,uttar-pradesh
13856,hapur district,902343,1496243558,2,2020,uttar-pradesh
13857,hamirpur district,345407,585773637.3,2,2020,uttar-pradesh
13858,meerut district,2994911,6172148247,2,2020,uttar-pradesh
13859,mathura district,1541861,2826177786,2,2020,uttar-pradesh
13860,chitrakoot district,216451,390056597.2,2,2020,uttar-pradesh
13861,lalitpur district,399359,774393184.8,2,2020,uttar-pradesh
13862,mau district,658169,1068323503,2,2020,uttar-pradesh
13863,mirzapur district,749501,1326542494,2,2020,uttar-pradesh
13864,bulandshahr district,1706169,2741837465,2,2020,uttar-pradesh
13865,gonda district,815060,1757033684,2,2020,uttar-pradesh
13866,jhansi district,1262589,2418809125,2,2020,uttar-pradesh
13867,chandauli district,695768,1196696571,2,2020,uttar-pradesh
13868,bhadohi district,544721,822816633.5,2,2020,uttar-pradesh
13869,pratapgarh district,954561,1600278348,2,2020,uttar-pradesh
13870,saharanpur district,1685012,3012340251,2,2020,uttar-pradesh
13871,bara banki district,699432,1034102990,2,2020,uttar-pradesh
13872,bareilly district,1694171,2977759299,2,2020,uttar-pradesh
13873,sitapur district,722022,1088559904,2,2020,uttar-pradesh
13874,sultanpur district,776598,1229758671,2,2020,uttar-pradesh
13875,agra district,2837641,5153788501,2,2020,uttar-pradesh
13876,fatehpur district,541508,820178271.4,2,2020,uttar-pradesh
13877,rae bareli district,655030,1095500289,2,2020,uttar-pradesh
13878,firozabad district,877638,1459928974,2,2020,uttar-pradesh
13879,kheri district,754871,1190369834,2,2020,uttar-pradesh
13880,gorakhpur district,2231738,4183285970,2,2020,uttar-pradesh
13881,unnao district,710650,950240650.2,2,2020,uttar-pradesh
13882,prayagraj district,2935110,5163514764,2,2020,uttar-pradesh
13883,sonbhadra district,806207,1534403493,2,2020,uttar-pradesh
13884,ghazipur district,1252110,2247394538,2,2020,uttar-pradesh
13885,farrukhabad district,601099,972263008.9,2,2020,uttar-pradesh
13886,kannauj district,505120,729038063.5,2,2020,uttar-pradesh
13887,azamgarh district,1402231,2315722082,2,2020,uttar-pradesh
13888,ayodhya district,900026,1541977174,2,2020,uttar-pradesh
13889,deoria district,1368817,2368679850,2,2020,uttar-pradesh
13890,ghaziabad district,7640595,11178742328,2,2020,uttar-pradesh
13891,amethi district,693798,1294320360,3,2020,uttar-pradesh
13892,siddharthnagar district,929098,2134469978,3,2020,uttar-pradesh
13893,auraiya district,562146,1136268445,3,2020,uttar-pradesh
13894,sambhal district,452494,1135126213,3,2020,uttar-pradesh
13895,kanpur nagar district,4224357,8417780316,3,2020,uttar-pradesh
13896,aligarh district,2172376,4433149341,3,2020,uttar-pradesh
13897,mahoba district,261861,531843525.6,3,2020,uttar-pradesh
13898,lucknow district,18626637,44986768817,3,2020,uttar-pradesh
13899,sant kabeer nagar district,656697,1513769440,3,2020,uttar-pradesh
13900,hathras district,625553,1275768779,3,2020,uttar-pradesh
13901,budaun district,592062,1238230055,3,2020,uttar-pradesh
13902,moradabad district,1295741,3054482814,3,2020,uttar-pradesh
13903,kushinagar district,1825898,3924228271,3,2020,uttar-pradesh
13904,baghpat district,874299,1818031341,3,2020,uttar-pradesh
13905,shahjahanpur district,671383,1272487040,3,2020,uttar-pradesh
13906,muzaffarnagar district,1231459,2544310298,3,2020,uttar-pradesh
13907,ambedkar nagar district,812512,1475036148,3,2020,uttar-pradesh
13908,bahraich district,538930,1178317118,3,2020,uttar-pradesh
13909,jalaun district,629953,1243068206,3,2020,uttar-pradesh
13910,rampur district,553247,1213905752,3,2020,uttar-pradesh
13911,ballia district,1405118,2795264293,3,2020,uttar-pradesh
13912,shravasti district,149664,328485585.9,3,2020,uttar-pradesh
13913,kasganj district,348658,705077297.4,3,2020,uttar-pradesh
13914,varanasi district,3370707,6634516648,3,2020,uttar-pradesh
13915,gautam buddha nagar district,17085582,21337631128,3,2020,uttar-pradesh
13916,basti district,1075459,2331628986,3,2020,uttar-pradesh
13917,shamli district,536622,1210822146,3,2020,uttar-pradesh
13918,maharajganj district,936896,2055424145,3,2020,uttar-pradesh
13919,etawah district,675757,1357078925,3,2020,uttar-pradesh
13920,etah district,520578,1064156896,3,2020,uttar-pradesh
13921,banda district,366254,695728921.4,3,2020,uttar-pradesh
13922,bijnor district,1182322,2483271492,3,2020,uttar-pradesh
13923,hardoi district,717346,1302260963,3,2020,uttar-pradesh
13924,balrampur district,454008,1114156873,3,2020,uttar-pradesh
13925,amroha district,683194,1606211046,3,2020,uttar-pradesh
13926,pilibhit district,492878,894196424.9,3,2020,uttar-pradesh
13927,mainpuri district,613350,1259746316,3,2020,uttar-pradesh
13928,kanpur dehat district,558874,1109266595,3,2020,uttar-pradesh
13929,jaunpur district,2030640,3837257466,3,2020,uttar-pradesh
13930,kaushambi district,315793,618446088.3,3,2020,uttar-pradesh
13931,hapur district,1102037,2028865232,3,2020,uttar-pradesh
13932,hamirpur district,355583,722708619.5,3,2020,uttar-pradesh
