S.no,District,RegisteredUsers,Appopens,Quarter,Year,State
5349,kishtwar district,6397,9507,4,2019,jammu-&-kashmir
5350,pulwama district,28336,9905,4,2019,jammu-&-kashmir
5351,ramban district,9304,14758,4,2019,jammu-&-kashmir
5352,rajouri district,25297,42098,4,2019,jammu-&-kashmir
5353,kulgam district,19304,1847,4,2019,jammu-&-kashmir
5354,budgam district,41377,14190,4,2019,jammu-&-kashmir
5355,anantnag district,36725,4724,4,2019,jammu-&-kashmir
5356,kupwara district,33279,5525,4,2019,jammu-&-kashmir
5357,muzaffarabad district,240,1138,1,2020,jammu-&-kashmir
5358,doda district,14537,88134,1,2020,jammu-&-kashmir
5359,samba district,31570,209115,1,2020,jammu-&-kashmir
5360,mirpur district,2835,23464,1,2020,jammu-&-kashmir
5361,srinagar district,70755,383851,1,2020,jammu-&-kashmir
5362,baramulla district,59123,288334,1,2020,jammu-&-kashmir
5363,jammu district,191031,1199860,1,2020,jammu-&-kashmir
5364,ganderbal district,14573,80254,1,2020,jammu-&-kashmir
5365,udhampur district,35408,262540,1,2020,jammu-&-kashmir
5366,bandipore district,16451,83494,1,2020,jammu-&-kashmir
5367,reasi district,16592,136328,1,2020,jammu-&-kashmir
5368,shopian district,10313,57817,1,2020,jammu-&-kashmir
5369,poonch district,16495,115169,1,2020,jammu-&-kashmir
5370,kathua district,37300,272391,1,2020,jammu-&-kashmir
5371,kishtwar district,7124,49904,1,2020,jammu-&-kashmir
5372,pulwama district,30796,200550,1,2020,jammu-&-kashmir
5373,ramban district,10267,83488,1,2020,jammu-&-kashmir
5374,rajouri district,28089,187260,1,2020,jammu-&-kashmir
5375,kulgam district,21070,96392,1,2020,jammu-&-kashmir
5376,budgam district,44636,248728,1,2020,jammu-&-kashmir
5377,anantnag district,39513,175619,1,2020,jammu-&-kashmir
5378,kupwara district,36690,233064,1,2020,jammu-&-kashmir
5379,muzaffarabad district,266,3534,2,2020,jammu-&-kashmir
5380,doda district,17896,262998,2,2020,jammu-&-kashmir
5381,samba district,37600,470714,2,2020,jammu-&-kashmir
5382,mirpur district,3522,72639,2,2020,jammu-&-kashmir
5383,srinagar district,78458,825852,2,2020,jammu-&-kashmir
5384,baramulla district,66095,677212,2,2020,jammu-&-kashmir
5385,jammu district,220805,2351890,2,2020,jammu-&-kashmir
5386,ganderbal district,16213,180300,2,2020,jammu-&-kashmir
5387,udhampur district,41813,587211,2,2020,jammu-&-kashmir
5388,bandipore district,18357,186996,2,2020,jammu-&-kashmir
5389,reasi district,19514,228746,2,2020,jammu-&-kashmir
5390,shopian district,11870,123790,2,2020,jammu-&-kashmir
5391,poonch district,19815,319509,2,2020,jammu-&-kashmir
5392,kathua district,44719,562924,2,2020,jammu-&-kashmir
5393,kishtwar district,8584,124258,2,2020,jammu-&-kashmir
5394,pulwama district,34565,434688,2,2020,jammu-&-kashmir
5395,ramban district,12068,183807,2,2020,jammu-&-kashmir
5396,rajouri district,33389,494580,2,2020,jammu-&-kashmir
5397,kulgam district,23505,216052,2,2020,jammu-&-kashmir
5398,budgam district,49962,560896,2,2020,jammu-&-kashmir
5399,anantnag district,44423,413847,2,2020,jammu-&-kashmir
5400,kupwara district,41855,574210,2,2020,jammu-&-kashmir
5401,muzaffarabad district,304,6388,3,2020,jammu-&-kashmir
5402,doda district,20833,287357,3,2020,jammu-&-kashmir
5403,samba district,42915,522691,3,2020,jammu-&-kashmir
5404,mirpur district,4128,70985,3,2020,jammu-&-kashmir
5405,srinagar district,87182,1051310,3,2020,jammu-&-kashmir
5406,baramulla district,73162,811950,3,2020,jammu-&-kashmir
5407,jammu district,248814,2720674,3,2020,jammu-&-kashmir
5408,ganderbal district,18259,225894,3,2020,jammu-&-kashmir
5409,udhampur district,47399,661207,3,2020,jammu-&-kashmir
5410,bandipore district,20153,223661,3,2020,jammu-&-kashmir
5411,reasi district,22063,243175,3,2020,jammu-&-kashmir
5412,shopian district,13294,160453,3,2020,jammu-&-kashmir
5413,poonch district,22704,342181,3,2020,jammu-&-kashmir
5414,kathua district,50914,593205,3,2020,jammu-&-kashmir
5415,kishtwar district,9745,126649,3,2020,jammu-&-kashmir
5416,pulwama district,38434,514441,3,2020,jammu-&-kashmir
5417,ramban district,13674,196197,3,2020,jammu-&-kashmir
5418,rajouri district,38071,557098,3,2020,jammu-&-kashmir
5419,kulgam district,25887,249487,3,2020,jammu-&-kashmir
5420,budgam district,55153,667385,3,2020,jammu-&-kashmir
5421,anantnag district,49443,501949,3,2020,jammu-&-kashmir
5422,kupwara district,47288,709117,3,2020,jammu-&-kashmir
5423,muzaffarabad district,339,9273,4,2020,jammu-&-kashmir
5424,doda district,24095,352491,4,2020,jammu-&-kashmir
5425,samba district,48775,710801,4,2020,jammu-&-kashmir
5426,mirpur district,4799,87362,4,2020,jammu-&-kashmir
5427,srinagar district,98923,1535006,4,2020,jammu-&-kashmir
5428,baramulla district,83119,1261348,4,2020,jammu-&-kashmir
5429,jammu district,282463,3834866,4,2020,jammu-&-kashmir
5430,ganderbal district,20465,288341,4,2020,jammu-&-kashmir
5431,udhampur district,53803,864317,4,2020,jammu-&-kashmir
5432,bandipore district,22721,335472,4,2020,jammu-&-kashmir
5433,reasi district,25147,358570,4,2020,jammu-&-kashmir
5434,shopian district,15234,234965,4,2020,jammu-&-kashmir
5435,poonch district,26045,423011,4,2020,jammu-&-kashmir
5436,kathua district,57651,817085,4,2020,jammu-&-kashmir
5437,kishtwar district,11233,171549,4,2020,jammu-&-kashmir
5438,pulwama district,43139,712775,4,2020,jammu-&-kashmir
5439,ramban district,15548,266848,4,2020,jammu-&-kashmir
5440,rajouri district,43240,690479,4,2020,jammu-&-kashmir
5441,kulgam district,29261,375598,4,2020,jammu-&-kashmir
5442,budgam district,62364,940572,4,2020,jammu-&-kashmir
5443,anantnag district,56211,775396,4,2020,jammu-&-kashmir
5444,kupwara district,54447,972626,4,2020,jammu-&-kashmir
5445,muzaffarabad district,377,9533,1,2021,jammu-&-kashmir
5446,doda district,26460,385972,1,2021,jammu-&-kashmir
5447,samba district,53123,846106,1,2021,jammu-&-kashmir
5448,mirpur district,5198,91729,1,2021,jammu-&-kashmir
5449,srinagar district,107147,1800718,1,2021,jammu-&-kashmir
5450,baramulla district,90607,1419562,1,2021,jammu-&-kashmir
5451,jammu district,307670,4748576,1,2021,jammu-&-kashmir
5452,ganderbal district,22249,307343,1,2021,jammu-&-kashmir
5453,udhampur district,58664,1005055,1,2021,jammu-&-kashmir
5454,bandipore district,24662,380806,1,2021,jammu-&-kashmir
5455,reasi district,27524,560191,1,2021,jammu-&-kashmir
5456,shopian district,16657,257342,1,2021,jammu-&-kashmir
5457,poonch district,28300,438878,1,2021,jammu-&-kashmir
5458,kathua district,62777,999489,1,2021,jammu-&-kashmir
5459,kishtwar district,12235,192499,1,2021,jammu-&-kashmir
5460,pulwama district,46731,822230,1,2021,jammu-&-kashmir
5461,ramban district,16907,314751,1,2021,jammu-&-kashmir
5462,rajouri district,47092,761083,1,2021,jammu-&-kashmir
5463,kulgam district,31882,413955,1,2021,jammu-&-kashmir
5464,budgam district,67920,1094310,1,2021,jammu-&-kashmir
5465,anantnag district,61151,943863,1,2021,jammu-&-kashmir
5466,kupwara district,59485,1040018,1,2021,jammu-&-kashmir
5467,muzaffarabad district,416,140975,2,2021,jammu-&-kashmir
5468,doda district,28542,1668531,2,2021,jammu-&-kashmir
5469,samba district,57066,1261847,2,2021,jammu-&-kashmir
5470,mirpur district,5662,519745,2,2021,jammu-&-kashmir
5471,srinagar district,114498,1723018,2,2021,jammu-&-kashmir
5472,baramulla district,97258,2275167,2,2021,jammu-&-kashmir
5473,jammu district,329625,5307827,2,2021,jammu-&-kashmir
5474,ganderbal district,23884,732103,2,2021,jammu-&-kashmir
5475,udhampur district,63296,2284672,2,2021,jammu-&-kashmir
5476,bandipore district,26435,753955,2,2021,jammu-&-kashmir
5477,reasi district,29716,1517492,2,2021,jammu-&-kashmir
5478,shopian district,17933,458734,2,2021,jammu-&-kashmir
5479,poonch district,30575,1527433,2,2021,jammu-&-kashmir
5480,kathua district,67569,2554198,2,2021,jammu-&-kashmir
5481,kishtwar district,13206,1464466,2,2021,jammu-&-kashmir
5482,pulwama district,50038,1135519,2,2021,jammu-&-kashmir
5483,ramban district,18253,999598,2,2021,jammu-&-kashmir
5484,rajouri district,50772,2055898,2,2021,jammu-&-kashmir
5485,kulgam district,34224,770338,2,2021,jammu-&-kashmir
5486,budgam district,72750,1261253,2,2021,jammu-&-kashmir
5487,anantnag district,65592,1762005,2,2021,jammu-&-kashmir
5488,kupwara district,63957,2099785,2,2021,jammu-&-kashmir
5489,muzaffarabad district,454,277152,3,2021,jammu-&-kashmir
5490,doda district,30988,2156305,3,2021,jammu-&-kashmir
5491,samba district,61677,1647183,3,2021,jammu-&-kashmir
5492,mirpur district,6201,741299,3,2021,jammu-&-kashmir
5493,srinagar district,122752,2116162,3,2021,jammu-&-kashmir
5494,baramulla district,104763,2926151,3,2021,jammu-&-kashmir
5495,jammu district,354280,7100607,3,2021,jammu-&-kashmir
5496,ganderbal district,25735,1207298,3,2021,jammu-&-kashmir
5497,udhampur district,68452,2608312,3,2021,jammu-&-kashmir
5498,bandipore district,28469,1139504,3,2021,jammu-&-kashmir
5499,reasi district,32275,2111256,3,2021,jammu-&-kashmir
5500,shopian district,19343,542538,3,2021,jammu-&-kashmir
5501,poonch district,33277,2129714,3,2021,jammu-&-kashmir
5502,kathua district,73280,3107994,3,2021,jammu-&-kashmir
5503,kishtwar district,14320,1885750,3,2021,jammu-&-kashmir
5504,pulwama district,53876,1519762,3,2021,jammu-&-kashmir
5505,ramban district,19751,1301613,3,2021,jammu-&-kashmir
5506,rajouri district,55013,2580630,3,2021,jammu-&-kashmir
5507,kulgam district,36921,956967,3,2021,jammu-&-kashmir
5508,budgam district,78298,1548150,3,2021,jammu-&-kashmir
5509,anantnag district,70633,2364289,3,2021,jammu-&-kashmir
5510,kupwara district,69102,3056561,3,2021,jammu-&-kashmir
5511,muzaffarabad district,506,22752,4,2021,jammu-&-kashmir
5512,doda district,33427,846302,4,2021,jammu-&-kashmir
5513,samba district,66057,1804895,4,2021,jammu-&-kashmir
5514,mirpur district,6709,171174,4,2021,jammu-&-kashmir
5515,srinagar district,130968,2897946,4,2021,jammu-&-kashmir
5516,baramulla district,112175,2592259,4,2021,jammu-&-kashmir
5517,jammu district,378618,8499645,4,2021,jammu-&-kashmir
5518,ganderbal district,27599,699275,4,2021,jammu-&-kashmir
5519,udhampur district,73525,2166683,4,2021,jammu-&-kashmir
5520,bandipore district,30502,782430,4,2021,jammu-&-kashmir
5521,reasi district,34767,1115094,4,2021,jammu-&-kashmir
5522,shopian district,20780,528874,4,2021,jammu-&-kashmir
5523,poonch district,35913,914840,4,2021,jammu-&-kashmir
5524,kathua district,78693,1976525,4,2021,jammu-&-kashmir
5525,kishtwar district,15389,430915,4,2021,jammu-&-kashmir
5526,pulwama district,57630,1470314,4,2021,jammu-&-kashmir
5527,ramban district,21283,726042,4,2021,jammu-&-kashmir
5528,rajouri district,59304,1466839,4,2021,jammu-&-kashmir
5529,kulgam district,39481,885164,4,2021,jammu-&-kashmir
5530,budgam district,83726,2099845,4,2021,jammu-&-kashmir
5531,anantnag district,75622,1791477,4,2021,jammu-&-kashmir
5532,kupwara district,74136,2122858,4,2021,jammu-&-kashmir
5533,muzaffarabad district,540,480972,1,2022,jammu-&-kashmir
5534,doda district,35680,3731468,1,2022,jammu-&-kashmir
5535,samba district,70288,2419072,1,2022,jammu-&-kashmir
5536,mirpur district,7177,1274287,1,2022,jammu-&-kashmir
5537,srinagar district,138727,1353992,1,2022,jammu-&-kashmir
5538,baramulla district,119475,3187493,1,2022,jammu-&-kashmir
5539,jammu district,401675,7369217,1,2022,jammu-&-kashmir
5540,ganderbal district,29427,1086867,1,2022,jammu-&-kashmir
5541,udhampur district,78353,4561115,1,2022,jammu-&-kashmir
5542,bandipore district,32427,1906499,1,2022,jammu-&-kashmir
5543,reasi district,37052,4089782,1,2022,jammu-&-kashmir
5544,shopian district,22173,601448,1,2022,jammu-&-kashmir
5545,poonch district,38315,3572503,1,2022,jammu-&-kashmir
5546,kathua district,83944,6051993,1,2022,jammu-&-kashmir
5547,kishtwar district,16418,3226678,1,2022,jammu-&-kashmir
5548,pulwama district,61306,1541606,1,2022,jammu-&-kashmir
5549,ramban district,22686,1936558,1,2022,jammu-&-kashmir
5550,rajouri district,63232,5359687,1,2022,jammu-&-kashmir
5551,kulgam district,42103,973922,1,2022,jammu-&-kashmir
5552,budgam district,88994,1081801,1,2022,jammu-&-kashmir
5553,anantnag district,80434,2235395,1,2022,jammu-&-kashmir
5554,kupwara district,78894,4073502,1,2022,jammu-&-kashmir
5555,muzaffarabad district,569,721831,2,2022,jammu-&-kashmir
5556,doda district,37779,5377569,2,2022,jammu-&-kashmir
5557,samba district,74186,3213482,2,2022,jammu-&-kashmir
5558,mirpur district,7601,1968657,2,2022,jammu-&-kashmir
5559,srinagar district,146169,1914232,2,2022,jammu-&-kashmir
5560,baramulla district,126067,4922259,2,2022,jammu-&-kashmir
5561,jammu district,423398,8926803,2,2022,jammu-&-kashmir
5562,ganderbal district,31111,3377275,2,2022,jammu-&-kashmir
5563,udhampur district,82705,6195826,2,2022,jammu-&-kashmir
5564,bandipore district,34244,2602119,2,2022,jammu-&-kashmir
5565,reasi district,39173,5696031,2,2022,jammu-&-kashmir
5566,shopian district,23465,810291,2,2022,jammu-&-kashmir
5567,poonch district,40606,4672381,2,2022,jammu-&-kashmir
5568,kathua district,88764,7935788,2,2022,jammu-&-kashmir
5569,kishtwar district,17326,4072235,2,2022,jammu-&-kashmir
5570,pulwama district,64808,2295579,2,2022,jammu-&-kashmir
5571,ramban district,24052,3050908,2,2022,jammu-&-kashmir
5572,rajouri district,66893,7456466,2,2022,jammu-&-kashmir
5573,kulgam district,44393,1545241,2,2022,jammu-&-kashmir
5574,budgam district,93893,1869838,2,2022,jammu-&-kashmir
5575,anantnag district,84898,4586304,2,2022,jammu-&-kashmir
5576,kupwara district,83470,6775195,2,2022,jammu-&-kashmir
5577,muzaffarabad district,592,952229,3,2022,jammu-&-kashmir
5578,doda district,39659,6978827,3,2022,jammu-&-kashmir
5579,samba district,78092,4267809,3,2022,jammu-&-kashmir
5580,mirpur district,7926,1829119,3,2022,jammu-&-kashmir
5581,srinagar district,153729,1647570,3,2022,jammu-&-kashmir
5582,baramulla district,132526,5517125,3,2022,jammu-&-kashmir
5583,jammu district,445345,11603149,3,2022,jammu-&-kashmir
5584,ganderbal district,32688,5505482,3,2022,jammu-&-kashmir
5585,udhampur district,86915,6912898,3,2022,jammu-&-kashmir
5586,bandipore district,36029,2922097,3,2022,jammu-&-kashmir
5587,reasi district,41108,6290088,3,2022,jammu-&-kashmir
5588,shopian district,24676,1040961,3,2022,jammu-&-kashmir
5589,poonch district,42653,5618116,3,2022,jammu-&-kashmir
5590,kathua district,93084,8200860,3,2022,jammu-&-kashmir
5591,kishtwar district,18168,4965859,3,2022,jammu-&-kashmir
5592,pulwama district,68004,2763346,3,2022,jammu-&-kashmir
5593,ramban district,25296,3925846,3,2022,jammu-&-kashmir
5594,rajouri district,70231,8425068,3,2022,jammu-&-kashmir
5595,kulgam district,46715,1705069,3,2022,jammu-&-kashmir
5596,budgam district,98698,2099049,3,2022,jammu-&-kashmir
5597,anantnag district,89184,8191712,3,2022,jammu-&-kashmir
5598,kupwara district,87867,7983956,3,2022,jammu-&-kashmir
5599,muzaffarabad district,598,50129,4,2022,jammu-&-kashmir
5600,doda district,41227,1620662,4,2022,jammu-&-kashmir
5601,samba district,81447,3159821,4,2022,jammu-&-kashmir
5602,mirpur district,8110,282243,4,2022,jammu-&-kashmir
5603,srinagar district,160924,4284704,4,2022,jammu-&-kashmir
5604,baramulla district,138215,4050435,4,2022,jammu-&-kashmir
5605,jammu district,465635,14015838,4,2022,jammu-&-kashmir
5606,ganderbal district,34020,1093714,4,2022,jammu-&-kashmir
5607,udhampur district,90677,3588426,4,2022,jammu-&-kashmir
5608,bandipore district,37554,1187600,4,2022,jammu-&-kashmir
5609,reasi district,42686,1985389,4,2022,jammu-&-kashmir
5610,shopian district,25639,1040648,4,2022,jammu-&-kashmir
5611,poonch district,44253,1667445,4,2022,jammu-&-kashmir
5612,kathua district,96688,3532478,4,2022,jammu-&-kashmir
5613,kishtwar district,18904,928136,4,2022,jammu-&-kashmir
5614,pulwama district,70875,2201068,4,2022,jammu-&-kashmir
5615,ramban district,26335,1386458,4,2022,jammu-&-kashmir
5616,rajouri district,72921,2562701,4,2022,jammu-&-kashmir
5617,kulgam district,48872,1582267,4,2022,jammu-&-kashmir
5618,budgam district,103056,3084965,4,2022,jammu-&-kashmir
5619,anantnag district,93107,3151558,4,2022,jammu-&-kashmir
5620,kupwara district,91691,3749180,4,2022,jammu-&-kashmir
5621,ramgarh district,37875,0,1,2018,jharkhand
5622,ranchi district,159444,0,1,2018,jharkhand
5623,east singhbhum district,103016,0,1,2018,jharkhand
5624,jamtara district,10659,0,1,2018,jharkhand
5625,dumka district,16027,0,1,2018,jharkhand
5626,koderma district,21423,0,1,2018,jharkhand
5627,hazaribagh district,56421,0,1,2018,jharkhand
5628,simdega district,2983,0,1,2018,jharkhand
5629,garhwa district,14981,0,1,2018,jharkhand
5630,saraikela kharsawan district,31177,0,1,2018,jharkhand
5631,gumla district,6616,0,1,2018,jharkhand
5632,chatra district,11805,0,1,2018,jharkhand
5633,khunti district,4037,0,1,2018,jharkhand
5634,dhanbad district,130195,0,1,2018,jharkhand
5635,godda district,16608,0,1,2018,jharkhand
5636,deoghar district,35229,0,1,2018,jharkhand
5637,palamu district,31788,0,1,2018,jharkhand
5638,latehar district,7580,0,1,2018,jharkhand
5639,west singhbhum district,15529,0,1,2018,jharkhand
5640,pakur district,6846,0,1,2018,jharkhand
5641,lohardaga district,5431,0,1,2018,jharkhand
5642,sahebganj district,12479,0,1,2018,jharkhand
5643,giridih district,45940,0,1,2018,jharkhand
5644,bokaro district,101673,0,1,2018,jharkhand
5645,ramgarh district,51846,0,2,2018,jharkhand
5646,ranchi district,216019,0,2,2018,jharkhand
5647,east singhbhum district,142493,0,2,2018,jharkhand
5648,jamtara district,15754,0,2,2018,jharkhand
5649,dumka district,22385,0,2,2018,jharkhand
5650,koderma district,28998,0,2,2018,jharkhand
5651,hazaribagh district,78856,0,2,2018,jharkhand
5652,simdega district,4315,0,2,2018,jharkhand
5653,garhwa district,22429,0,2,2018,jharkhand
5654,saraikela kharsawan district,43186,0,2,2018,jharkhand
5655,gumla district,9302,0,2,2018,jharkhand
5656,chatra district,17229,0,2,2018,jharkhand
5657,khunti district,5835,0,2,2018,jharkhand
5658,dhanbad district,181348,0,2,2018,jharkhand
5659,godda district,23746,0,2,2018,jharkhand
5660,deoghar district,50575,0,2,2018,jharkhand
5661,palamu district,45659,0,2,2018,jharkhand
5662,latehar district,11032,0,2,2018,jharkhand
5663,west singhbhum district,22297,0,2,2018,jharkhand
5664,pakur district,9475,0,2,2018,jharkhand
5665,lohardaga district,7702,0,2,2018,jharkhand
5666,sahebganj district,17195,0,2,2018,jharkhand
5667,giridih district,63248,0,2,2018,jharkhand
5668,bokaro district,139675,0,2,2018,jharkhand
5669,ramgarh district,63704,0,3,2018,jharkhand
5670,ranchi district,265341,0,3,2018,jharkhand
5671,east singhbhum district,176668,0,3,2018,jharkhand
5672,jamtara district,20471,0,3,2018,jharkhand
5673,dumka district,28400,0,3,2018,jharkhand
5674,koderma district,36314,0,3,2018,jharkhand
5675,hazaribagh district,99502,0,3,2018,jharkhand
5676,simdega district,5759,0,3,2018,jharkhand
5677,garhwa district,30199,0,3,2018,jharkhand
5678,saraikela kharsawan district,54706,0,3,2018,jharkhand
5679,gumla district,12095,0,3,2018,jharkhand
5680,chatra district,22931,0,3,2018,jharkhand
5681,khunti district,8026,0,3,2018,jharkhand
5682,dhanbad district,219103,0,3,2018,jharkhand
5683,godda district,30225,0,3,2018,jharkhand
5684,deoghar district,63814,0,3,2018,jharkhand
5685,palamu district,59382,0,3,2018,jharkhand
5686,latehar district,14871,0,3,2018,jharkhand
5687,west singhbhum district,29036,0,3,2018,jharkhand
5688,pakur district,12107,0,3,2018,jharkhand
5689,lohardaga district,10207,0,3,2018,jharkhand
5690,sahebganj district,21878,0,3,2018,jharkhand
5691,giridih district,80440,0,3,2018,jharkhand
5692,bokaro district,167183,0,3,2018,jharkhand
5693,ramgarh district,78772,0,4,2018,jharkhand
5694,ranchi district,326599,0,4,2018,jharkhand
5695,east singhbhum district,217406,0,4,2018,jharkhand
5696,jamtara district,26309,0,4,2018,jharkhand
5697,dumka district,36099,0,4,2018,jharkhand
5698,koderma district,45333,0,4,2018,jharkhand
5699,hazaribagh district,126167,0,4,2018,jharkhand
5700,simdega district,7712,0,4,2018,jharkhand
5701,garhwa district,40041,0,4,2018,jharkhand
5702,saraikela kharsawan district,68611,0,4,2018,jharkhand
5703,gumla district,15753,0,4,2018,jharkhand
5704,chatra district,30596,0,4,2018,jharkhand
5705,khunti district,10206,0,4,2018,jharkhand
5706,dhanbad district,268439,0,4,2018,jharkhand
5707,godda district,38887,0,4,2018,jharkhand
5708,deoghar district,80669,0,4,2018,jharkhand
5709,palamu district,77478,0,4,2018,jharkhand
5710,latehar district,19320,0,4,2018,jharkhand
5711,west singhbhum district,37405,0,4,2018,jharkhand
5712,pakur district,15419,0,4,2018,jharkhand
5713,lohardaga district,13230,0,4,2018,jharkhand
5714,sahebganj district,28138,0,4,2018,jharkhand
5715,giridih district,103118,0,4,2018,jharkhand
5716,bokaro district,202242,0,4,2018,jharkhand
5717,ramgarh district,93606,0,1,2019,jharkhand
5718,ranchi district,386608,0,1,2019,jharkhand
5719,east singhbhum district,256344,0,1,2019,jharkhand
5720,jamtara district,31881,0,1,2019,jharkhand
5721,dumka district,43171,0,1,2019,jharkhand
5722,koderma district,54059,0,1,2019,jharkhand
5723,hazaribagh district,151904,0,1,2019,jharkhand
5724,simdega district,9604,0,1,2019,jharkhand
5725,garhwa district,49830,0,1,2019,jharkhand
5726,saraikela kharsawan district,81052,0,1,2019,jharkhand
5727,gumla district,19367,0,1,2019,jharkhand
5728,chatra district,38103,0,1,2019,jharkhand
5729,khunti district,12464,0,1,2019,jharkhand
5730,dhanbad district,313255,0,1,2019,jharkhand
5731,godda district,47481,0,1,2019,jharkhand
5732,deoghar district,97449,0,1,2019,jharkhand
5733,palamu district,94917,0,1,2019,jharkhand
5734,latehar district,23885,0,1,2019,jharkhand
5735,west singhbhum district,45300,0,1,2019,jharkhand
5736,pakur district,19057,0,1,2019,jharkhand
5737,lohardaga district,16058,0,1,2019,jharkhand
5738,sahebganj district,34076,0,1,2019,jharkhand
5739,giridih district,123889,0,1,2019,jharkhand
5740,bokaro district,235969,0,1,2019,jharkhand
5741,ramgarh district,106681,620109,2,2019,jharkhand
5742,ranchi district,441616,2630101,2,2019,jharkhand
5743,east singhbhum district,293761,1617866,2,2019,jharkhand
5744,jamtara district,38190,143343,2,2019,jharkhand
5745,dumka district,49461,238865,2,2019,jharkhand
5746,koderma district,61305,368015,2,2019,jharkhand
5747,hazaribagh district,174278,1185663,2,2019,jharkhand
5748,simdega district,11491,49387,2,2019,jharkhand
5749,garhwa district,58146,384220,2,2019,jharkhand
5750,saraikela kharsawan district,91579,540602,2,2019,jharkhand
5751,gumla district,22928,94141,2,2019,jharkhand
5752,chatra district,44677,282074,2,2019,jharkhand
5753,khunti district,14727,73934,2,2019,jharkhand
5754,dhanbad district,350861,2002322,2,2019,jharkhand
5755,godda district,54586,284339,2,2019,jharkhand
5756,deoghar district,115129,498504,2,2019,jharkhand
5757,palamu district,109508,658714,2,2019,jharkhand
5758,latehar district,28215,201889,2,2019,jharkhand
5759,west singhbhum district,53382,239884,2,2019,jharkhand
5760,pakur district,22184,123261,2,2019,jharkhand
5761,lohardaga district,18787,88845,2,2019,jharkhand
5762,sahebganj district,39201,191204,2,2019,jharkhand
5763,giridih district,140800,794100,2,2019,jharkhand
5764,bokaro district,263361,1617684,2,2019,jharkhand
5765,ramgarh district,119804,2267440,3,2019,jharkhand
5766,ranchi district,495155,10129751,3,2019,jharkhand
5767,east singhbhum district,329319,6050920,3,2019,jharkhand
5768,jamtara district,44605,468395,3,2019,jharkhand
5769,dumka district,54795,856263,3,2019,jharkhand
5770,koderma district,67920,1212989,3,2019,jharkhand
5771,hazaribagh district,196452,4356338,3,2019,jharkhand
5772,simdega district,12955,159450,3,2019,jharkhand
5773,garhwa district,65981,1257909,3,2019,jharkhand
5774,saraikela kharsawan district,101247,2009557,3,2019,jharkhand
5775,gumla district,26048,311673,3,2019,jharkhand
5776,chatra district,50825,994108,3,2019,jharkhand
5777,khunti district,16486,242909,3,2019,jharkhand
5778,dhanbad district,388528,8240359,3,2019,jharkhand
5779,godda district,60653,905058,3,2019,jharkhand
5780,deoghar district,132603,1871907,3,2019,jharkhand
5781,palamu district,123609,2175855,3,2019,jharkhand
5782,latehar district,32061,717719,3,2019,jharkhand
5783,west singhbhum district,60358,873324,3,2019,jharkhand
5784,pakur district,25013,391373,3,2019,jharkhand
5785,lohardaga district,21242,302878,3,2019,jharkhand
5786,sahebganj district,43911,611414,3,2019,jharkhand
5787,giridih district,155689,2634087,3,2019,jharkhand
5788,bokaro district,290252,6462784,3,2019,jharkhand
5789,ramgarh district,134423,2847207,4,2019,jharkhand
5790,ranchi district,548293,11810321,4,2019,jharkhand
5791,east singhbhum district,364379,7080865,4,2019,jharkhand
5792,jamtara district,53422,699449,4,2019,jharkhand
5793,dumka district,62129,1099247,4,2019,jharkhand
5794,koderma district,75718,1615207,4,2019,jharkhand
5795,hazaribagh district,222038,5339953,4,2019,jharkhand
5796,simdega district,15055,239546,4,2019,jharkhand
5797,garhwa district,76320,1731346,4,2019,jharkhand
5798,saraikela kharsawan district,112827,2436243,4,2019,jharkhand
5799,gumla district,30074,442354,4,2019,jharkhand
5800,chatra district,58784,1340259,4,2019,jharkhand
5801,khunti district,18867,313446,4,2019,jharkhand
5802,dhanbad district,436201,10977420,4,2019,jharkhand
5803,godda district,68844,1227420,4,2019,jharkhand
5804,deoghar district,155132,2408742,4,2019,jharkhand
5805,palamu district,141817,2998942,4,2019,jharkhand
5806,latehar district,37036,884862,4,2019,jharkhand
5807,west singhbhum district,68537,1149228,4,2019,jharkhand
5808,pakur district,28972,524670,4,2019,jharkhand
5809,lohardaga district,24330,414639,4,2019,jharkhand
5810,sahebganj district,49836,803765,4,2019,jharkhand
5811,giridih district,175648,3510788,4,2019,jharkhand
5812,bokaro district,322689,8285870,4,2019,jharkhand
5813,ramgarh district,149467,3234694,1,2020,jharkhand
5814,ranchi district,602664,12670342,1,2020,jharkhand
5815,east singhbhum district,398663,7560425,1,2020,jharkhand
5816,jamtara district,62283,702395,1,2020,jharkhand
5817,dumka district,69852,1172516,1,2020,jharkhand
5818,koderma district,84331,1862938,1,2020,jharkhand
5819,hazaribagh district,248710,5867137,1,2020,jharkhand
5820,simdega district,17525,296335,1,2020,jharkhand
5821,garhwa district,87607,2110569,1,2020,jharkhand
5822,saraikela kharsawan district,124479,2627564,1,2020,jharkhand
5823,gumla district,34702,527039,1,2020,jharkhand
5824,chatra district,67305,1587493,1,2020,jharkhand
5825,khunti district,21442,354137,1,2020,jharkhand
5826,dhanbad district,479075,9614867,1,2020,jharkhand
5827,godda district,77305,1404924,1,2020,jharkhand
5828,deoghar district,179746,2757806,1,2020,jharkhand
5829,palamu district,161215,3688215,1,2020,jharkhand
5830,latehar district,42321,1057532,1,2020,jharkhand
5831,west singhbhum district,77335,1328533,1,2020,jharkhand
5832,pakur district,33331,593048,1,2020,jharkhand
