S.no,Transacton_type,Total_Transactions_count,Total_Amount,Quarter,Year,State
2874,Others,201576,151230100.6,4,2021,punjab
2875,Merchant payments,25979197,23217511697,1,2022,punjab
2876,Peer-to-peer payments,22354946,88645204329,1,2022,punjab
2877,Recharge & bill payments,9188439,6317909909,1,2022,punjab
2878,Financial Services,57561,83933665.01,1,2022,punjab
2879,Others,178159,125418507,1,2022,punjab
2880,Merchant payments,35941880,28585688544,2,2022,punjab
2881,Peer-to-peer payments,25952349,1.01E+11,2,2022,punjab
2882,Recharge & bill payments,10161030,7652499714,2,2022,punjab
2883,Financial Services,50483,57234782.46,2,2022,punjab
2884,Others,167081,111934787.8,2,2022,punjab
2885,Merchant payments,43089589,32370885165,3,2022,punjab
2886,Peer-to-peer payments,29862592,1.08E+11,3,2022,punjab
2887,Recharge & bill payments,11017816,9119649329,3,2022,punjab
2888,Financial Services,57979,68249938.54,3,2022,punjab
2889,Others,149921,107280498.8,3,2022,punjab
2890,Merchant payments,48358802,38162493193,4,2022,punjab
2891,Peer-to-peer payments,32377106,1.21E+11,4,2022,punjab
2892,Recharge & bill payments,10895208,9248445986,4,2022,punjab
2893,Financial Services,62809,72160390.23,4,2022,punjab
2894,Others,141255,111559653.6,4,2022,punjab
2895,Recharge & bill payments,4305940,868358581.2,1,2018,rajasthan
2896,Peer-to-peer payments,2540658,7547652853,1,2018,rajasthan
2897,Financial Services,202537,37125466.5,1,2018,rajasthan
2898,Merchant payments,184127,201212697.3,1,2018,rajasthan
2899,Others,358428,271943533.1,1,2018,rajasthan
2900,Recharge & bill payments,5288093,1511007056,2,2018,rajasthan
2901,Peer-to-peer payments,3770555,13341587602,2,2018,rajasthan
2902,Merchant payments,345752,342809667.6,2,2018,rajasthan
2903,Financial Services,279471,52145152.94,2,2018,rajasthan
2904,Others,289826,311536696.7,2,2018,rajasthan
2905,Peer-to-peer payments,7120792,21010614922,3,2018,rajasthan
2906,Recharge & bill payments,5894660,2252031410,3,2018,rajasthan
2907,Merchant payments,711240,445504998,3,2018,rajasthan
2908,Financial Services,230083,30185982.18,3,2018,rajasthan
2909,Others,300323,302431358.9,3,2018,rajasthan
2910,Peer-to-peer payments,10752729,33578327038,4,2018,rajasthan
2911,Recharge & bill payments,7557003,2743591539,4,2018,rajasthan
2912,Merchant payments,1985927,1172254324,4,2018,rajasthan
2913,Financial Services,311632,40412563.01,4,2018,rajasthan
2914,Others,352432,374501619.8,4,2018,rajasthan
2915,Peer-to-peer payments,27621606,55246071722,1,2019,rajasthan
2916,Recharge & bill payments,11650961,3821181817,1,2019,rajasthan
2917,Merchant payments,3921438,1664209335,1,2019,rajasthan
2918,Financial Services,359993,36340412.58,1,2019,rajasthan
2919,Others,402042,373355289.6,1,2019,rajasthan
2920,Peer-to-peer payments,25257679,79466464089,2,2019,rajasthan
2921,Recharge & bill payments,14968290,5709279551,2,2019,rajasthan
2922,Merchant payments,9026751,3435472167,2,2019,rajasthan
2923,Financial Services,182685,34134486.76,2,2019,rajasthan
2924,Others,573881,461962878.5,2,2019,rajasthan
2925,Peer-to-peer payments,29885618,97443950787,3,2019,rajasthan
2926,Merchant payments,19646612,6705923743,3,2019,rajasthan
2927,Recharge & bill payments,16970783,7872719572,3,2019,rajasthan
2928,Financial Services,217029,37899900.33,3,2019,rajasthan
2929,Others,583575,407796030.9,3,2019,rajasthan
2930,Peer-to-peer payments,43354317,1.40E+11,4,2019,rajasthan
2931,Recharge & bill payments,20604852,9028860435,4,2019,rajasthan
2932,Merchant payments,20544791,9721826538,4,2019,rajasthan
2933,Financial Services,101805,25014672.38,4,2019,rajasthan
2934,Others,468477,227573686.6,4,2019,rajasthan
2935,Peer-to-peer payments,48269912,1.65E+11,1,2020,rajasthan
2936,Merchant payments,27880848,13643061482,1,2020,rajasthan
2937,Recharge & bill payments,25631131,10961167180,1,2020,rajasthan
2938,Financial Services,72604,34466606.25,1,2020,rajasthan
2939,Others,404317,200968968.7,1,2020,rajasthan
2940,Peer-to-peer payments,49160792,1.66E+11,2,2020,rajasthan
2941,Recharge & bill payments,31681776,13014051936,2,2020,rajasthan
2942,Merchant payments,20756594,14354151782,2,2020,rajasthan
2943,Financial Services,92875,76662259.21,2,2020,rajasthan
2944,Others,262619,142020149.8,2,2020,rajasthan
2945,Peer-to-peer payments,73247856,2.49E+11,3,2020,rajasthan
2946,Merchant payments,45149210,27714680562,3,2020,rajasthan
2947,Recharge & bill payments,30148875,16650017441,3,2020,rajasthan
2948,Financial Services,146383,113675141.5,3,2020,rajasthan
2949,Others,396352,193212778.7,3,2020,rajasthan
2950,Peer-to-peer payments,88730951,3.21E+11,4,2020,rajasthan
2951,Merchant payments,67367264,46142484518,4,2020,rajasthan
2952,Recharge & bill payments,33455755,18123908526,4,2020,rajasthan
2953,Financial Services,169294,136058685.9,4,2020,rajasthan
2954,Others,560171,351480425.6,4,2020,rajasthan
2955,Peer-to-peer payments,116733195,4.08E+11,1,2021,rajasthan
2956,Merchant payments,96394132,61936457709,1,2021,rajasthan
2957,Recharge & bill payments,38919519,20855464604,1,2021,rajasthan
2958,Financial Services,192936,162581466.9,1,2021,rajasthan
2959,Others,491137,347689722.9,1,2021,rajasthan
2960,Peer-to-peer payments,139277445,4.68E+11,2,2021,rajasthan
2961,Merchant payments,97860493,69922875807,2,2021,rajasthan
2962,Recharge & bill payments,49501703,23387103756,2,2021,rajasthan
2963,Financial Services,216441,186606893.6,2,2021,rajasthan
2964,Others,620957,422031947.6,2,2021,rajasthan
2965,Peer-to-peer payments,181742972,5.76E+11,3,2021,rajasthan
2966,Merchant payments,167819345,1.06E+11,3,2021,rajasthan
2967,Recharge & bill payments,49709657,28335516739,3,2021,rajasthan
2968,Financial Services,197211,190362135.9,3,2021,rajasthan
2969,Others,815568,524328574.3,3,2021,rajasthan
2970,Merchant payments,221774624,1.52E+11,4,2021,rajasthan
2971,Peer-to-peer payments,212937264,7.18E+11,4,2021,rajasthan
2972,Recharge & bill payments,51610607,32831163303,4,2021,rajasthan
2973,Financial Services,265091,263180819.7,4,2021,rajasthan
2974,Others,1034011,656777820.8,4,2021,rajasthan
2975,Merchant payments,267467038,1.71E+11,1,2022,rajasthan
2976,Peer-to-peer payments,241739380,8.15E+11,1,2022,rajasthan
2977,Recharge & bill payments,54555117,35542881861,1,2022,rajasthan
2978,Financial Services,244029,243340851.7,1,2022,rajasthan
2979,Others,956656,556409604.9,1,2022,rajasthan
2980,Merchant payments,336900860,2.08E+11,2,2022,rajasthan
2981,Peer-to-peer payments,263380560,9.06E+11,2,2022,rajasthan
2982,Recharge & bill payments,59879660,38325678034,2,2022,rajasthan
2983,Financial Services,170705,175399371.4,2,2022,rajasthan
2984,Others,838365,452454748.3,2,2022,rajasthan
2985,Merchant payments,398104319,2.31E+11,3,2022,rajasthan
2986,Peer-to-peer payments,299383118,9.61E+11,3,2022,rajasthan
2987,Recharge & bill payments,69118763,46000391408,3,2022,rajasthan
2988,Financial Services,215235,220271929.8,3,2022,rajasthan
2989,Others,719925,449514643.6,3,2022,rajasthan
2990,Merchant payments,457778005,2.75E+11,4,2022,rajasthan
2991,Peer-to-peer payments,334316758,1.13E+12,4,2022,rajasthan
2992,Recharge & bill payments,72510470,50609988782,4,2022,rajasthan
2993,Financial Services,244442,270658681,4,2022,rajasthan
2994,Others,725173,500361375.7,4,2022,rajasthan
2995,Recharge & bill payments,26965,4823943.542,1,2018,sikkim
2996,Peer-to-peer payments,13559,56334584.63,1,2018,sikkim
2997,Merchant payments,1349,1677583.144,1,2018,sikkim
2998,Financial Services,608,86906.81958,1,2018,sikkim
2999,Others,1597,1727920.802,1,2018,sikkim
3000,Recharge & bill payments,45435,9465769.856,2,2018,sikkim
3001,Peer-to-peer payments,24237,127051984.4,2,2018,sikkim
3002,Merchant payments,2556,4713227.148,2,2018,sikkim
3003,Financial Services,562,218130.13,2,2018,sikkim
3004,Others,1788,2243974.008,2,2018,sikkim
3005,Recharge & bill payments,58421,12221506.19,3,2018,sikkim
3006,Peer-to-peer payments,43195,215547415.5,3,2018,sikkim
3007,Merchant payments,4521,5322296.748,3,2018,sikkim
3008,Financial Services,562,261766.8022,3,2018,sikkim
3009,Others,1801,1727241.758,3,2018,sikkim
3010,Recharge & bill payments,79232,16713780.63,4,2018,sikkim
3011,Peer-to-peer payments,65451,351253329.7,4,2018,sikkim
3012,Merchant payments,7452,12637809.24,4,2018,sikkim
3013,Financial Services,717,596472.7146,4,2018,sikkim
3014,Others,1681,1939965.754,4,2018,sikkim
3015,Peer-to-peer payments,121984,422987999.9,1,2019,sikkim
3016,Recharge & bill payments,96878,20711589.87,1,2019,sikkim
3017,Merchant payments,18346,11837344.85,1,2019,sikkim
3018,Financial Services,1225,191594.2334,1,2019,sikkim
3019,Others,1854,2265105.535,1,2019,sikkim
3020,Peer-to-peer payments,172125,674044301.8,2,2019,sikkim
3021,Recharge & bill payments,142582,32535297.49,2,2019,sikkim
3022,Merchant payments,66722,28248001.03,2,2019,sikkim
3023,Financial Services,2294,310197.5477,2,2019,sikkim
3024,Others,4521,3756445.532,2,2019,sikkim
3025,Peer-to-peer payments,203052,794235862.6,3,2019,sikkim
3026,Merchant payments,188753,52337322.53,3,2019,sikkim
3027,Recharge & bill payments,156125,33922224.89,3,2019,sikkim
3028,Financial Services,288,548142.9,3,2019,sikkim
3029,Others,4218,3672895.49,3,2019,sikkim
3030,Peer-to-peer payments,508471,1086457148,4,2019,sikkim
3031,Recharge & bill payments,181287,42705664.09,4,2019,sikkim
3032,Merchant payments,73992,43954548.8,4,2019,sikkim
3033,Financial Services,373,494076.3451,4,2019,sikkim
3034,Others,2947,2898164.48,4,2019,sikkim
3035,Peer-to-peer payments,230413,954765350.2,1,2020,sikkim
3036,Recharge & bill payments,215586,53588505.84,1,2020,sikkim
3037,Merchant payments,79881,43201695.39,1,2020,sikkim
3038,Financial Services,345,175569.5393,1,2020,sikkim
3039,Others,1893,1745150.991,1,2020,sikkim
3040,Recharge & bill payments,297620,78397187.11,2,2020,sikkim
3041,Peer-to-peer payments,186495,939900165.9,2,2020,sikkim
3042,Merchant payments,31442,34385184.66,2,2020,sikkim
3043,Financial Services,883,999656.0722,2,2020,sikkim
3044,Others,1291,936594.4803,2,2020,sikkim
3045,Recharge & bill payments,298885,83894642.67,3,2020,sikkim
3046,Peer-to-peer payments,245087,1255521153,3,2020,sikkim
3047,Merchant payments,49299,58337178.67,3,2020,sikkim
3048,Financial Services,1252,1795366.733,3,2020,sikkim
3049,Others,1912,1378387.617,3,2020,sikkim
3050,Peer-to-peer payments,334069,1711730127,4,2020,sikkim
3051,Recharge & bill payments,301382,90168624.05,4,2020,sikkim
3052,Merchant payments,95503,112478003.9,4,2020,sikkim
3053,Financial Services,1427,2361187.592,4,2020,sikkim
3054,Others,2654,2537863.028,4,2020,sikkim
3055,Peer-to-peer payments,403703,1965492630,1,2021,sikkim
3056,Recharge & bill payments,279679,93174110.11,1,2021,sikkim
3057,Merchant payments,112925,154183320.1,1,2021,sikkim
3058,Financial Services,1844,3027799.278,1,2021,sikkim
3059,Others,2038,1789867.734,1,2021,sikkim
3060,Peer-to-peer payments,473141,2125758497,2,2021,sikkim
3061,Recharge & bill payments,345495,103846501.5,2,2021,sikkim
3062,Merchant payments,153671,190473176.2,2,2021,sikkim
3063,Financial Services,1865,2851874.287,2,2021,sikkim
3064,Others,2542,1969531.029,2,2021,sikkim
3065,Peer-to-peer payments,595826,2582075089,3,2021,sikkim
3066,Recharge & bill payments,346173,111613776.8,3,2021,sikkim
3067,Merchant payments,213808,290732930.5,3,2021,sikkim
3068,Financial Services,1689,2624558.386,3,2021,sikkim
3069,Others,3098,2290508.817,3,2021,sikkim
3070,Peer-to-peer payments,831597,3548508410,4,2021,sikkim
3071,Recharge & bill payments,376078,136473754.4,4,2021,sikkim
3072,Merchant payments,369343,504586163.6,4,2021,sikkim
3073,Financial Services,2269,3162023.721,4,2021,sikkim
3074,Others,5058,4052910.301,4,2021,sikkim
3075,Peer-to-peer payments,916940,3650961081,1,2022,sikkim
3076,Merchant payments,449273,570784579.7,1,2022,sikkim
3077,Recharge & bill payments,371579,139135962.1,1,2022,sikkim
3078,Financial Services,2124,3062332.164,1,2022,sikkim
3079,Others,4386,3487320.926,1,2022,sikkim
3080,Peer-to-peer payments,1198014,4596501308,2,2022,sikkim
3081,Merchant payments,706658,847497607.1,2,2022,sikkim
3082,Recharge & bill payments,411189,162174479.7,2,2022,sikkim
3083,Financial Services,1758,1861284.797,2,2022,sikkim
3084,Others,4462,3070990.528,2,2022,sikkim
3085,Peer-to-peer payments,1222037,4173703594,3,2022,sikkim
3086,Merchant payments,772650,830361401,3,2022,sikkim
3087,Recharge & bill payments,397207,153567926.3,3,2022,sikkim
3088,Financial Services,1538,2851319.548,3,2022,sikkim
3089,Others,3326,2396303.405,3,2022,sikkim
3090,Peer-to-peer payments,1548662,5175155339,4,2022,sikkim
3091,Merchant payments,1033541,1096220774,4,2022,sikkim
3092,Recharge & bill payments,470639,181281682.3,4,2022,sikkim
3093,Financial Services,2049,2701971.789,4,2022,sikkim
3094,Others,3448,3025622.232,4,2022,sikkim
3095,Recharge & bill payments,3308548,646028338.4,1,2018,tamil-nadu
3096,Peer-to-peer payments,2670613,10031518934,1,2018,tamil-nadu
3097,Merchant payments,326510,272002057.2,1,2018,tamil-nadu
3098,Financial Services,115363,31876073.75,1,2018,tamil-nadu
3099,Others,305588,280132294.1,1,2018,tamil-nadu
3100,Recharge & bill payments,4464677,1189892956,2,2018,tamil-nadu
3101,Peer-to-peer payments,4433762,18067624388,2,2018,tamil-nadu
3102,Merchant payments,627918,517130320.5,2,2018,tamil-nadu
3103,Financial Services,167035,65402385.26,2,2018,tamil-nadu
3104,Others,298736,285794226.6,2,2018,tamil-nadu
3105,Peer-to-peer payments,8810836,26792462660,3,2018,tamil-nadu
3106,Recharge & bill payments,5148411,1521551955,3,2018,tamil-nadu
3107,Merchant payments,1290978,733189649.6,3,2018,tamil-nadu
3108,Financial Services,191732,37049222.37,3,2018,tamil-nadu
3109,Others,332121,245838754,3,2018,tamil-nadu
3110,Peer-to-peer payments,11538547,39180083691,4,2018,tamil-nadu
3111,Recharge & bill payments,7093764,2020329568,4,2018,tamil-nadu
3112,Merchant payments,3145621,1742903221,4,2018,tamil-nadu
3113,Financial Services,228398,46571758.68,4,2018,tamil-nadu
3114,Others,451114,312185737.4,4,2018,tamil-nadu
3115,Peer-to-peer payments,18645926,51296299081,1,2019,tamil-nadu
3116,Recharge & bill payments,8863289,2695317015,1,2019,tamil-nadu
3117,Merchant payments,4195222,1924461189,1,2019,tamil-nadu
3118,Financial Services,193261,31217137.55,1,2019,tamil-nadu
3119,Others,377347,256742393.3,1,2019,tamil-nadu
3120,Peer-to-peer payments,16952961,57924128549,2,2019,tamil-nadu
3121,Recharge & bill payments,8414514,3280033640,2,2019,tamil-nadu
3122,Merchant payments,6296995,2690331793,2,2019,tamil-nadu
3123,Financial Services,70142,18334602.39,2,2019,tamil-nadu
3124,Others,437125,294847441.9,2,2019,tamil-nadu
3125,Peer-to-peer payments,21277636,70615331409,3,2019,tamil-nadu
3126,Merchant payments,10344027,4079315733,3,2019,tamil-nadu
3127,Recharge & bill payments,9246678,3964144354,3,2019,tamil-nadu
3128,Financial Services,88261,27213741.83,3,2019,tamil-nadu
3129,Others,453581,273599406.2,3,2019,tamil-nadu
3130,Peer-to-peer payments,28814008,91858026341,4,2019,tamil-nadu
3131,Merchant payments,16153034,6420193205,4,2019,tamil-nadu
3132,Recharge & bill payments,11157765,4681454398,4,2019,tamil-nadu
3133,Financial Services,60624,24332240.66,4,2019,tamil-nadu
3134,Others,410980,206859328.3,4,2019,tamil-nadu
3135,Peer-to-peer payments,30880360,1.02E+11,1,2020,tamil-nadu
3136,Merchant payments,21541556,8950736938,1,2020,tamil-nadu
3137,Recharge & bill payments,14134259,5493239430,1,2020,tamil-nadu
3138,Financial Services,61427,41422107.81,1,2020,tamil-nadu
3139,Others,335871,176604658.4,1,2020,tamil-nadu
3140,Peer-to-peer payments,21700844,82347647064,2,2020,tamil-nadu
3141,Recharge & bill payments,18474731,6414781159,2,2020,tamil-nadu
3142,Merchant payments,11477546,6909361872,2,2020,tamil-nadu
3143,Financial Services,78584,89189349.85,2,2020,tamil-nadu
3144,Others,138405,65529451.74,2,2020,tamil-nadu
3145,Peer-to-peer payments,31754077,1.24E+11,3,2020,tamil-nadu
3146,Merchant payments,20664887,12554589576,3,2020,tamil-nadu
3147,Recharge & bill payments,17521756,7476952307,3,2020,tamil-nadu
3148,Financial Services,129671,158512062.5,3,2020,tamil-nadu
3149,Others,207434,90281020.16,3,2020,tamil-nadu
3150,Peer-to-peer payments,47800741,1.72E+11,4,2020,tamil-nadu
3151,Merchant payments,41297305,24417758782,4,2020,tamil-nadu
3152,Recharge & bill payments,21563946,9462546013,4,2020,tamil-nadu
3153,Financial Services,153044,186775413.1,4,2020,tamil-nadu
3154,Others,364665,209735503.5,4,2020,tamil-nadu
3155,Peer-to-peer payments,57446279,2.06E+11,1,2021,tamil-nadu
3156,Merchant payments,53811885,30722779535,1,2021,tamil-nadu
3157,Recharge & bill payments,24826273,11115915389,1,2021,tamil-nadu
3158,Financial Services,170620,215319360.5,1,2021,tamil-nadu
3159,Others,301617,208899281.9,1,2021,tamil-nadu
3160,Peer-to-peer payments,60812902,2.16E+11,2,2021,tamil-nadu
3161,Merchant payments,52048347,33504798113,2,2021,tamil-nadu
3162,Recharge & bill payments,32753032,13155346942,2,2021,tamil-nadu
3163,Financial Services,192614,225113402.7,2,2021,tamil-nadu
3164,Others,351547,223054882.4,2,2021,tamil-nadu
3165,Merchant payments,85074941,52932187059,3,2021,tamil-nadu
3166,Peer-to-peer payments,83833356,2.96E+11,3,2021,tamil-nadu
3167,Recharge & bill payments,34751691,15613287082,3,2021,tamil-nadu
3168,Financial Services,182097,246146707.3,3,2021,tamil-nadu
3169,Others,515319,294622911.6,3,2021,tamil-nadu
3170,Merchant payments,117578360,70539086832,4,2021,tamil-nadu
3171,Peer-to-peer payments,104493071,3.54E+11,4,2021,tamil-nadu
3172,Recharge & bill payments,36163870,18979178478,4,2021,tamil-nadu
3173,Financial Services,228761,275850497.1,4,2021,tamil-nadu
3174,Others,691914,400412189.8,4,2021,tamil-nadu
3175,Merchant payments,139788772,81798208976,1,2022,tamil-nadu
3176,Peer-to-peer payments,119383791,4.10E+11,1,2022,tamil-nadu
3177,Recharge & bill payments,34579431,20705079141,1,2022,tamil-nadu
3178,Financial Services,241201,298216135.4,1,2022,tamil-nadu
3179,Others,579955,355987089.8,1,2022,tamil-nadu
3180,Merchant payments,179245529,1.01E+11,2,2022,tamil-nadu
3181,Peer-to-peer payments,136341691,4.64E+11,2,2022,tamil-nadu
3182,Recharge & bill payments,38257271,24477663684,2,2022,tamil-nadu
3183,Financial Services,202498,233054909,2,2022,tamil-nadu
3184,Others,459948,277767177,2,2022,tamil-nadu
3185,Merchant payments,202149276,1.10E+11,3,2022,tamil-nadu
3186,Peer-to-peer payments,148805657,4.94E+11,3,2022,tamil-nadu
3187,Recharge & bill payments,41919063,27694221703,3,2022,tamil-nadu
3188,Financial Services,217741,238069828.2,3,2022,tamil-nadu
3189,Others,404438,265434770.8,3,2022,tamil-nadu
3190,Merchant payments,229308285,1.19E+11,4,2022,tamil-nadu
3191,Peer-to-peer payments,162920305,5.27E+11,4,2022,tamil-nadu
3192,Recharge & bill payments,43391904,29719449171,4,2022,tamil-nadu
3193,Financial Services,295740,334812023.6,4,2022,tamil-nadu
3194,Others,400402,275988847.1,4,2022,tamil-nadu
3195,Recharge & bill payments,4209319,831912767.6,1,2018,telangana
3196,Peer-to-peer payments,3307245,11748268951,1,2018,telangana
3197,Merchant payments,351474,282899066.6,1,2018,telangana
3198,Financial Services,262876,57011875.36,1,2018,telangana
3199,Others,391852,388111458.2,1,2018,telangana
3200,Peer-to-peer payments,4784079,20748520743,2,2018,telangana
3201,Recharge & bill payments,4686542,1274130054,2,2018,telangana
3202,Merchant payments,701082,551696487.3,2,2018,telangana
3203,Financial Services,277805,85498213.25,2,2018,telangana
3204,Others,315162,357356020.7,2,2018,telangana
3205,Peer-to-peer payments,11560952,29253505739,3,2018,telangana
3206,Recharge & bill payments,5328881,1568136061,3,2018,telangana
3207,Merchant payments,1770075,855534175.5,3,2018,telangana
3208,Financial Services,307312,52554123.97,3,2018,telangana
3209,Others,365483,300363110.8,3,2018,telangana
3210,Peer-to-peer payments,15571288,44541667502,4,2018,telangana
3211,Recharge & bill payments,7121135,2165870863,4,2018,telangana
3212,Merchant payments,5315161,2356841305,4,2018,telangana
3213,Financial Services,392423,64569231.24,4,2018,telangana
3214,Others,521147,380139546.9,4,2018,telangana
3215,Peer-to-peer payments,40488967,87361237975,1,2019,telangana
3216,Merchant payments,12341901,4144368546,1,2019,telangana
3217,Recharge & bill payments,11525394,3619117615,1,2019,telangana
3218,Financial Services,463688,54547989.28,1,2019,telangana
3219,Others,470752,343989909.9,1,2019,telangana
3220,Peer-to-peer payments,46741594,1.41E+11,2,2019,telangana
3221,Merchant payments,25682382,8442740781,2,2019,telangana
3222,Recharge & bill payments,16225017,5603477829,2,2019,telangana
3223,Financial Services,252173,43627344.86,2,2019,telangana
3224,Others,709213,490894328.4,2,2019,telangana
3225,Peer-to-peer payments,59981113,1.80E+11,3,2019,telangana
3226,Merchant payments,44035953,14308557741,3,2019,telangana
3227,Recharge & bill payments,16437222,6793699069,3,2019,telangana
3228,Financial Services,183163,39617186.74,3,2019,telangana
3229,Others,857925,445278745.4,3,2019,telangana
3230,Peer-to-peer payments,82587060,2.49E+11,4,2019,telangana
3231,Merchant payments,59347809,21510626607,4,2019,telangana
3232,Recharge & bill payments,20797056,9561315125,4,2019,telangana
3233,Financial Services,137291,33453857.4,4,2019,telangana
3234,Others,703042,294688962.7,4,2019,telangana
3235,Peer-to-peer payments,95668911,3.28E+11,1,2020,telangana
3236,Merchant payments,76818285,31076431478,1,2020,telangana
3237,Recharge & bill payments,26324268,12324266105,1,2020,telangana
3238,Financial Services,88184,59500639.39,1,2020,telangana
3239,Others,509877,241784101.5,1,2020,telangana
3240,Peer-to-peer payments,76683293,2.79E+11,2,2020,telangana
3241,Merchant payments,44181999,26712043205,2,2020,telangana
3242,Recharge & bill payments,30885875,15106945864,2,2020,telangana
3243,Financial Services,116776,134169906.7,2,2020,telangana
3244,Others,187200,100126467.2,2,2020,telangana
3245,Peer-to-peer payments,116668399,4.37E+11,3,2020,telangana
3246,Merchant payments,86836471,49743225885,3,2020,telangana
3247,Recharge & bill payments,32352860,18378477088,3,2020,telangana
3248,Financial Services,195857,223377023.5,3,2020,telangana
3249,Others,318539,156875854.6,3,2020,telangana
3250,Peer-to-peer payments,160607487,5.92E+11,4,2020,telangana
3251,Merchant payments,143897953,81725950703,4,2020,telangana
3252,Recharge & bill payments,38174710,22006183349,4,2020,telangana
3253,Financial Services,230134,275357720,4,2020,telangana
3254,Others,733503,366346176.4,4,2020,telangana
3255,Merchant payments,185230619,95927278281,1,2021,telangana
3256,Peer-to-peer payments,179738195,6.76E+11,1,2021,telangana
3257,Recharge & bill payments,46371555,26447601339,1,2021,telangana
3258,Financial Services,262473,320153410.2,1,2021,telangana
3259,Others,969268,387877900.5,1,2021,telangana
3260,Peer-to-peer payments,230861833,8.72E+11,2,2021,telangana
3261,Merchant payments,205232899,1.23E+11,2,2021,telangana
3262,Recharge & bill payments,58637866,31877277168,2,2021,telangana
3263,Financial Services,278546,300569264.1,2,2021,telangana
3264,Others,856400,420723415.9,2,2021,telangana
3265,Merchant payments,286735350,1.59E+11,3,2021,telangana
3266,Peer-to-peer payments,271436926,9.82E+11,3,2021,telangana
3267,Recharge & bill payments,62744121,36434881136,3,2021,telangana
3268,Financial Services,235519,329138539.5,3,2021,telangana
3269,Others,1734852,543116826.3,3,2021,telangana
3270,Merchant payments,376584215,2.13E+11,4,2021,telangana
3271,Peer-to-peer payments,331774591,1.20E+12,4,2021,telangana
3272,Recharge & bill payments,66477036,44760398983,4,2021,telangana
3273,Financial Services,298871,392141743.7,4,2021,telangana
3274,Others,855060,639658842.9,4,2021,telangana
3275,Merchant payments,449186799,2.44E+11,1,2022,telangana
3276,Peer-to-peer payments,368048408,1.38E+12,1,2022,telangana
3277,Recharge & bill payments,66352138,50470450180,1,2022,telangana
3278,Financial Services,284035,394283511.9,1,2022,telangana
3279,Others,2582005,642005688.8,1,2022,telangana
3280,Merchant payments,565370506,3.07E+11,2,2022,telangana
3281,Peer-to-peer payments,422056582,1.58E+12,2,2022,telangana
3282,Recharge & bill payments,75099130,63136761649,2,2022,telangana
3283,Financial Services,245023,324857780.6,2,2022,telangana
3284,Others,611316,470432687.4,2,2022,telangana
3285,Merchant payments,880414292,4.47E+11,3,2022,telangana
3286,Peer-to-peer payments,626830752,2.17E+12,3,2022,telangana
3287,Recharge & bill payments,119779835,87937210666,3,2022,telangana
3288,Financial Services,340458,442783619.1,3,2022,telangana
3289,Others,800064,621900924.4,3,2022,telangana
3290,Merchant payments,1002521735,4.92E+11,4,2022,telangana
3291,Peer-to-peer payments,694612831,2.39E+12,4,2022,telangana
3292,Recharge & bill payments,121188131,92136759501,4,2022,telangana
3293,Financial Services,401838,498719426,4,2022,telangana
3294,Others,782297,680680558.3,4,2022,telangana
3295,Recharge & bill payments,86819,14079439.57,1,2018,tripura
3296,Peer-to-peer payments,44844,112229995,1,2018,tripura
3297,Financial Services,4842,672247.5882,1,2018,tripura
3298,Merchant payments,4833,6080959.883,1,2018,tripura
3299,Others,6819,4916272.513,1,2018,tripura
3300,Recharge & bill payments,118171,22554398.15,2,2018,tripura
3301,Peer-to-peer payments,73821,197666881.9,2,2018,tripura
3302,Merchant payments,9621,10570951.15,2,2018,tripura
3303,Financial Services,6925,1264101.905,2,2018,tripura
3304,Others,6021,4835385.634,2,2018,tripura
3305,Peer-to-peer payments,186065,398867427.3,3,2018,tripura
3306,Recharge & bill payments,156308,33484811.21,3,2018,tripura
3307,Merchant payments,21476,16092396.41,3,2018,tripura
3308,Financial Services,8106,1080000.011,3,2018,tripura
3309,Others,5748,4338753.081,3,2018,tripura
3310,Recharge & bill payments,204720,38334816.66,4,2018,tripura
3311,Peer-to-peer payments,179739,549068822.4,4,2018,tripura
3312,Merchant payments,50888,31066467.63,4,2018,tripura
3313,Financial Services,6441,1023126.821,4,2018,tripura
3314,Others,6271,5392365.974,4,2018,tripura
3315,Peer-to-peer payments,296993,679165332.8,1,2019,tripura
3316,Recharge & bill payments,227997,44429378.42,1,2019,tripura
3317,Merchant payments,46642,28109966.32,1,2019,tripura
3318,Financial Services,4189,461473.5886,1,2019,tripura
3319,Others,5105,4728790.472,1,2019,tripura
3320,Peer-to-peer payments,240776,751113516.2,2,2019,tripura
3321,Recharge & bill payments,218649,48989430.61,2,2019,tripura
3322,Merchant payments,64829,35275706.83,2,2019,tripura
3323,Financial Services,1899,339184.3345,2,2019,tripura
3324,Others,6405,6103644.851,2,2019,tripura
3325,Recharge & bill payments,339539,81845425.35,3,2019,tripura
3326,Peer-to-peer payments,270163,884623553.9,3,2019,tripura
3327,Merchant payments,68399,44802063.64,3,2019,tripura
3328,Financial Services,27970,582020.9903,3,2019,tripura
3329,Others,5646,5524358.927,3,2019,tripura
3330,Recharge & bill payments,373779,88001651.29,4,2019,tripura
3331,Peer-to-peer payments,359076,1071507586,4,2019,tripura
3332,Merchant payments,62458,51274033.72,4,2019,tripura
3333,Financial Services,2239,377097.6671,4,2019,tripura
3334,Others,4272,4239791.585,4,2019,tripura
3335,Recharge & bill payments,449584,114355218,1,2020,tripura
3336,Peer-to-peer payments,366218,1400694934,1,2020,tripura
3337,Merchant payments,102861,68590603.64,1,2020,tripura
